dividend                  divisor                  quotient                  remainder        clocks_of_single_div_complete      clocks_of_rob_graduation
   90                        15                       06                        12                        09                                0a
   56                        53                       01                        03                        05                                0b
   41                        80                       00                        41                        06                                0c
   5a                        02                       2d                        00                        33                                34
   90                        08                       12                        00                        1a                                35
   b1                        97                       01                        1a                        0a                                36
   64                        50                       01                        14                        0d                                37
   e1                        b8                       01                        29                        0e                                38
   9a                        6e                       01                        2c                        11                                39
   23                        06                       05                        05                        16                                3a
   83                        67                       01                        1c                        15                                3b
   fe                        23                       07                        09                        3e                                3f
   c5                        64                       01                        61                        39                                40
   89                        40                       02                        09                        3b                                41
   65                        30                       02                        05                        3c                                42
   89                        56                       01                        33                        3d                                43
   19                        10                       01                        09                        3f                                44
   17                        06                       03                        05                        44                                45
   72                        34                       02                        0a                        42                                46
   d5                        71                       01                        64                        43                                47
   c5                        46                       02                        39                        46                                48
   73                        80                       00                        73                        45                                49
   25                        02                       12                        01                        58                                59
   85                        29                       03                        0a                        4a                                5a
   a5                        37                       03                        00                        4b                                5b
   82                        16                       05                        14                        4e                                5c
   15                        10                       01                        05                        50                                5d
   62                        51                       01                        11                        4f                                5e
   d3                        42                       03                        0d                        54                                5f
   29                        03                       0d                        02                        5f                                60
   45                        07                       09                        06                        65                                66
   89                        32                       02                        25                        60                                67

 Clocks taken = 103. 

