W	S	rtl	avg_current	avg_power
1	1.0	3.393e-05	-5.946e-15	-9.325e-16
1	1.17461894309	3.405e-05	-6.959e-15	-1.095e-15
1	1.37972966146	3.419e-05	-8.139e-15	-1.286e-15
1	1.62065659669	3.435e-05	-9.514e-15	-1.511e-15
1	1.90365393872	3.454e-05	-1.111e-14	-1.774e-15
1	2.2360679775	3.477e-05	-1.297e-14	-2.084e-15
1	2.6265278044	3.503e-05	-1.511e-14	-2.447e-15
1	3.0851693136	3.533e-05	-1.759e-14	-2.874e-15
1	3.62389831839	3.570e-05	-2.045e-14	-3.375e-15
1	4.2566996126	3.612e-05	-2.373e-14	-3.963e-15
1	5.0	3.661e-05	-2.750e-14	-4.654e-15
2	1.0	3.359e-05	-6.006e-15	-9.327e-16
2	1.17461894309	3.365e-05	-7.043e-15	-1.096e-15
2	1.37972966146	3.372e-05	-8.255e-15	-1.287e-15
2	1.62065659669	3.380e-05	-9.672e-15	-1.511e-15
2	1.90365393872	3.390e-05	-1.133e-14	-1.775e-15
2	2.2360679775	3.401e-05	-1.326e-14	-2.085e-15
2	2.6265278044	3.415e-05	-1.551e-14	-2.449e-15
2	3.0851693136	3.430e-05	-1.814e-14	-2.876e-15
2	3.62389831839	3.448e-05	-2.119e-14	-3.378e-15
2	4.2566996126	3.470e-05	-2.473e-14	-3.967e-15
2	5.0	3.495e-05	-2.884e-14	-4.659e-15
3	1.0	3.347e-05	-6.028e-15	-9.328e-16
3	1.17461894309	3.352e-05	-7.071e-15	-1.096e-15
3	1.37972966146	3.357e-05	-8.293e-15	-1.287e-15
3	1.62065659669	3.362e-05	-9.725e-15	-1.512e-15
3	1.90365393872	3.368e-05	-1.140e-14	-1.775e-15
3	2.2360679775	3.375e-05	-1.336e-14	-2.085e-15
3	2.6265278044	3.385e-05	-1.566e-14	-2.449e-15
3	3.0851693136	3.395e-05	-1.833e-14	-2.877e-15
3	3.62389831839	3.407e-05	-2.145e-14	-3.379e-15
3	4.2566996126	3.422e-05	-2.509e-14	-3.969e-15
3	5.0	3.439e-05	-2.932e-14	-4.661e-15
4	1.0	3.342e-05	-6.038e-15	-9.328e-16
4	1.17461894309	3.345e-05	-7.087e-15	-1.096e-15
4	1.37972966146	3.348e-05	-8.315e-15	-1.287e-15
4	1.62065659669	3.352e-05	-9.756e-15	-1.512e-15
4	1.90365393872	3.357e-05	-1.144e-14	-1.776e-15
4	2.2360679775	3.363e-05	-1.342e-14	-2.085e-15
4	2.6265278044	3.369e-05	-1.573e-14	-2.450e-15
4	3.0851693136	3.378e-05	-1.843e-14	-2.877e-15
4	3.62389831839	3.386e-05	-2.159e-14	-3.379e-15
4	4.2566996126	3.398e-05	-2.527e-14	-3.969e-15
4	5.0	3.410e-05	-2.958e-14	-4.662e-15
5	1.0	3.338e-05	-6.044e-15	-9.364e-16
5	1.17461894309	3.341e-05	-7.095e-15	-1.100e-15
5	1.37972966146	3.343e-05	-8.328e-15	-1.292e-15
5	1.62065659669	3.347e-05	-9.772e-15	-1.518e-15
5	1.90365393872	3.350e-05	-1.146e-14	-1.782e-15
5	2.2360679775	3.355e-05	-1.345e-14	-2.093e-15
5	2.6265278044	3.361e-05	-1.577e-14	-2.459e-15
5	3.0851693136	3.367e-05	-1.849e-14	-2.890e-15
5	3.62389831839	3.375e-05	-2.167e-14	-3.392e-15
5	4.2566996126	3.383e-05	-2.538e-14	-3.988e-15
5	5.0	3.393e-05	-2.972e-14	-4.662e-15
6	1.0	3.336e-05	-6.049e-15	-9.365e-16
6	1.17461894309	3.338e-05	-7.102e-15	-1.100e-15
6	1.37972966146	3.341e-05	-8.334e-15	-1.292e-15
6	1.62065659669	3.343e-05	-9.783e-15	-1.517e-15
6	1.90365393872	3.346e-05	-1.148e-14	-1.782e-15
6	2.2360679775	3.350e-05	-1.347e-14	-2.094e-15
6	2.6265278044	3.355e-05	-1.580e-14	-2.459e-15
6	3.0851693136	3.360e-05	-1.853e-14	-2.888e-15
6	3.62389831839	3.366e-05	-2.172e-14	-3.395e-15
6	4.2566996126	3.373e-05	-2.546e-14	-3.988e-15
6	5.0	3.382e-05	-2.983e-14	-4.684e-15
7	1.0	3.334e-05	-6.052e-15	-9.364e-16
7	1.17461894309	3.336e-05	-7.105e-15	-1.100e-15
7	1.37972966146	3.338e-05	-8.340e-15	-1.292e-15
7	1.62065659669	3.341e-05	-9.788e-15	-1.518e-15
7	1.90365393872	3.344e-05	-1.149e-14	-1.782e-15
7	2.2360679775	3.347e-05	-1.348e-14	-2.094e-15
7	2.6265278044	3.350e-05	-1.582e-14	-2.459e-15
7	3.0851693136	3.355e-05	-1.855e-14	-2.888e-15
7	3.62389831839	3.360e-05	-2.176e-14	-3.393e-15
7	4.2566996126	3.367e-05	-2.551e-14	-3.988e-15
7	5.0	3.374e-05	-2.990e-14	-4.680e-15
