At time 1.350000 ns, rst=1, clk=1, in=x, match=0
At time 3.850000 ns, rst=1, clk=1, in=x, match=0
At time 6.350000 ns, rst=1, clk=1, in=x, match=0
At time 8.850000 ns, rst=1, clk=1, in=x, match=0
At time 11.350000 ns, rst=1, clk=1, in=x, match=0
At time 13.850000 ns, rst=0, clk=1, in=1, match=0
At time 16.350000 ns, rst=0, clk=1, in=0, match=0
At time 18.850000 ns, rst=0, clk=1, in=1, match=0
At time 21.350000 ns, rst=0, clk=1, in=0, match=0
At time 23.850000 ns, rst=0, clk=1, in=1, match=0
At time 26.350000 ns, rst=0, clk=1, in=1, match=0
At time 28.850000 ns, rst=0, clk=1, in=1, match=0
At time 31.350000 ns, rst=0, clk=1, in=0, match=0
At time 33.850000 ns, rst=0, clk=1, in=1, match=1
At time 36.350000 ns, rst=0, clk=1, in=1, match=0
At time 38.850000 ns, rst=0, clk=1, in=1, match=0
At time 41.350000 ns, rst=0, clk=1, in=0, match=0
At time 43.850000 ns, rst=0, clk=1, in=1, match=1
At time 46.350000 ns, rst=0, clk=1, in=1, match=0
At time 48.850000 ns, rst=0, clk=1, in=1, match=0
At time 51.350000 ns, rst=0, clk=1, in=0, match=0
At time 53.850000 ns, rst=0, clk=1, in=0, match=1
At time 56.350000 ns, rst=0, clk=1, in=1, match=0
At time 58.850000 ns, rst=0, clk=1, in=1, match=0
